ID,Context,Polish,English,Notes
passenger_student_defense_rude2,Passenger Dialogue,"Ślepak jesteś?","Are you blind?","Rude - defending valid student ID"
passenger_student_defense_rude3,Passenger Dialogue,"Zobacz lepiej!","Look better!","Rude - defending valid student ID"
passenger_student_defense_rude4,Passenger Dialogue,"Podbita jest, nie widzisz?","It's stamped, can't you see?","Rude - defending valid student ID"
passenger_senior_defense_rude1,Passenger Dialogue,"Co, liczyć nie umiesz?","What, can't you count?","Rude - defending valid senior status"
passenger_senior_defense_rude2,Passenger Dialogue,"Idź się naucz liczyć!","Go learn to count!","Rude - defending valid senior status"
passenger_senior_defense_rude3,Passenger Dialogue,"Sprawdź jeszcze raz!","Check again!","Rude - defending valid senior status"
passenger_senior_defense_rude4,Passenger Dialogue,"Nie umiesz czytać?","Can't you read?","Rude - defending valid senior status"
passenger_adult_defense_rude1,Passenger Dialogue,"Po co mi w ogóle sprawdzasz!","Why are you even checking me!","Rude - defending valid adult document"
passenger_adult_defense_rude2,Passenger Dialogue,"Czego się czepiasz?","What are you picking on?","Rude - defending valid adult document"
passenger_adult_defense_rude3,Passenger Dialogue,"Wszystko w porządku!","Everything's in order!","Rude - defending valid adult document"
passenger_adult_defense_rude4,Passenger Dialogue,"Nie ma o czym gadać!","Nothing to talk about!","Rude - defending valid adult document"
,,,,
,,"=== PASSENGER DIALOGUE - FRAIDY ===",,"Fraidy/timid passenger personality"
passenger_greeting_fraidy1,Passenger Dialogue,"Dzie- dzień dobry...","Go- good day...","Fraidy greeting"
passenger_greeting_fraidy2,Passenger Dialogue,"Witam... proszę Pana...","Greetings... please sir...","Fraidy greeting"
passenger_greeting_fraidy3,Passenger Dialogue,"Dzień dobry Panu...","Good day to you sir...","Fraidy greeting"
passenger_greeting_fraidy4,Passenger Dialogue,"Ee... dzień dobry...","Uh... good day...","Fraidy greeting"
passenger_greeting_fraidy5,Passenger Dialogue,"Witam... przepraszam...","Greetings... sorry...","Fraidy greeting"
passenger_ticket_yes_fraidy1,Passenger Dialogue,"Jest! Momencik, tylko znajdę...","I have it! Just a moment, I'll find it...","Fraidy - has ticket"
passenger_ticket_yes_fraidy2,Passenger Dialogue,"Tak! Zaraz... tu gdzieś jest...","Yes! Just a moment... it's here somewhere...","Fraidy - has ticket"
passenger_ticket_yes_fraidy3,Passenger Dialogue,"O tak! Proszę, tu jest...","Oh yes! Please, here it is...","Fraidy - has ticket"
passenger_ticket_yes_fraidy4,Passenger Dialogue,"Mam! Proszę bardzo...","I have it! Here you are...","Fraidy - has ticket"
passenger_ticket_no_fraidy1,Passenger Dialogue,"N- nie mam... Przepraszam!","I- I don't have it... Sorry!","Fraidy - no ticket"
passenger_ticket_no_fraidy2,Passenger Dialogue,"Boję się, że nie mam...","I'm afraid I don't have it...","Fraidy - no ticket"
passenger_ticket_no_fraidy3,Passenger Dialogue,"Chyba... chyba go nie ma...","I think... I think it's not there...","Fraidy - no ticket"
passenger_ticket_no_fraidy4,Passenger Dialogue,"Przykro mi... nie mam...","I'm sorry... I don't have it...","Fraidy - no ticket"
passenger_id_yes_fraidy1,Passenger Dialogue,"Oczywiście!","Of course!","Fraidy - has ID"
passenger_id_yes_fraidy2,Passenger Dialogue,"Tak... tu jest...","Yes... here it is...","Fraidy - has ID"
passenger_id_yes_fraidy3,Passenger Dialogue,"Proszę bardzo...","Here you are...","Fraidy - has ID"
passenger_id_yes_fraidy4,Passenger Dialogue,"Mam... proszę...","I have it... please...","Fraidy - has ID"
passenger_id_no_fraidy1,Passenger Dialogue,"Ja... w domu jest...","I... it's at home...","Fraidy - no ID"
passenger_id_no_fraidy2,Passenger Dialogue,"Nie mam... przepraszam...","I don't have it... sorry...","Fraidy - no ID"
passenger_id_no_fraidy3,Passenger Dialogue,"Zapomniałem... przykro mi...","I forgot... I'm sorry...","Fraidy - no ID"
passenger_id_no_fraidy4,Passenger Dialogue,"W domu został... sorki...","It stayed at home... sorry...","Fraidy - no ID"
passenger_student_invalid_fraidy1,Passenger Dialogue,"...","...","Fraidy - invalid student ID (silent)"
passenger_student_invalid_fraidy2,Passenger Dialogue,"Och... rzeczywiście...","Oh... indeed...","Fraidy - invalid student ID"
passenger_student_invalid_fraidy3,Passenger Dialogue,"Ups... nie zauważyłem...","Oops... I didn't notice...","Fraidy - invalid student ID"
passenger_student_invalid_fraidy4,Passenger Dialogue,"Ojej... faktycznie...","Oh my... indeed...","Fraidy - invalid student ID"
passenger_senior_invalid_fraidy1,Passenger Dialogue,"Yyy...","Uh...","Fraidy - invalid senior claim"
passenger_senior_invalid_fraidy2,Passenger Dialogue,"Hmm... może Pan... może?","Hmm... maybe you... maybe?","Fraidy - invalid senior claim"
passenger_senior_invalid_fraidy3,Passenger Dialogue,"Proszę... może tym razem?","Please... maybe this time?","Fraidy - invalid senior claim"
passenger_senior_invalid_fraidy4,Passenger Dialogue,"Ehh... proszę bardzo...","Ehh... please...","Fraidy - invalid senior claim"
passenger_student_defense_fraidy1,Passenger Dialogue,"M- myślę, że wszystko się zgadza!","I- I think everything matches!","Fraidy - defending valid student ID"
passenger_student_defense_fraidy2,Passenger Dialogue,"Ale... ale przecież jest podbita!","But... but it is stamped!","Fraidy - defending valid student ID"
passenger_student_defense_fraidy3,Passenger Dialogue,"Wydaje mi się, że w porządku...","I think it's in order...","Fraidy - defending valid student ID"
passenger_student_defense_fraidy4,Passenger Dialogue,"Chyba... chyba wszystko dobrze...","I think... I think everything's fine...","Fraidy - defending valid student ID"
passenger_senior_defense_fraidy1,Passenger Dialogue,"Jest Pan pewien...?","Are you sure...?","Fraidy - defending valid senior status"
passenger_senior_defense_fraidy2,Passenger Dialogue,"Może Pan sprawdzi jeszcze raz?","Maybe you'll check again?","Fraidy - defending valid senior status"
passenger_senior_defense_fraidy3,Passenger Dialogue,"Czy... czy na pewno?","Are... are you sure?","Fraidy - defending valid senior status"
passenger_senior_defense_fraidy4,Passenger Dialogue,"Proszę... może się Pan pomylił?","Please... maybe you made a mistake?","Fraidy - defending valid senior status"
passenger_adult_defense_fraidy1,Passenger Dialogue,"N- nie rozumiem...? Co może być nie tak?","I- I don't understand...? What could be wrong?","Fraidy - defending valid adult document"
passenger_adult_defense_fraidy2,Passenger Dialogue,"Ale... ale przecież wszystko w porządku...","But... but everything's in order...","Fraidy - defending valid adult document"
passenger_adult_defense_fraidy3,Passenger Dialogue,"Nie wiem... co może być źle?","I don't know... what could be wrong?","Fraidy - defending valid adult document"
passenger_adult_defense_fraidy4,Passenger Dialogue,"Wydaje mi się, że wszystko dobrze...","I think everything's fine...","Fraidy - defending valid adult document"
,,,,
,,"=== UI ELEMENTS ===",,"User interface text - placeholders for menu items"
page_number_1,UI,"1","1","Page number"
page_number_2,UI,"2","2","Page number"
page_number_3,UI,"3","3","Page number"
page_number_4,UI,"4","4","Page number"
